ID,Name,Team,Games,Sport,Event,Medal
846,Valerie Kasanita Adams-Vili (-Price),New Zealand,2012 Summer,Athletics,Athletics Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),New Zealand,2016 Summer,Athletics,Athletics Women's Shot Put,Silver
849,Filip Kamil Adamski,Germany,2012 Summer,Rowing,Rowing Men's Coxed Eights,Gold
850,Herbert Adamski,Germany,1936 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
851,Jerzy Adamski,Poland,1960 Summer,Boxing,Boxing Men's Featherweight,Silver
882,Simon Addo,Ghana,1992 Summer,Football,Football Men's Football,Bronze
884,Eugene Addor,Switzerland,1920 Summer,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
896,Olubayo Adefemi,Nigeria,2008 Summer,Football,Football Men's Football,Silver
908,"Ayodele ""Dele"" Adeleye",Nigeria,2008 Summer,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,Brazil,1984 Summer,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,Brazil,1988 Summer,Football,Football Men's Football,Silver
923,Olapade Charles Adeniken,Nigeria,1992 Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
925,Adenzia Aparecida Ferreira da Silva,Brazil,2012 Summer,Volleyball,Volleyball Women's Volleyball,Gold
953,Franck Adisson,France-1,1992 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
953,Franck Adisson,France-1,1996 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
956,"Richard ""Richy""  Adjei",Germany-2,2010 Winter,Bobsleigh,Bobsleigh Men's Two,Silver
957,Sammi Adjei,Ghana,1992 Summer,Football,Football Men's Football,Bronze
962,"Charles ""Chuck"" Adkins",United States,1952 Summer,Boxing,Boxing Men's Light-Welterweight,Gold
963,Derrick Ralph Adkins,United States,1996 Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
964,"Robert Edward ""Bob"" Adlard",Great Britain,1948 Summer,Hockey,Hockey Men's Hockey,Silver
966,Daniel Adler,Brazil,1984 Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
967,Egon Adler,Germany,1960 Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
968,"Margarete ""Grete"" Adler",Austria,1912 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
973,Gregor Nils Henric Adlercreutz,Sweden,1936 Summer,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
